Id,SalePrice
1461,119840.16282316734
1462,157264.10864473294
1463,184810.6677401106
1464,196955.53062829902
1465,193565.81053080788
1466,172974.2371636554
1467,176453.63539296956
1468,163724.9837633214
1469,185747.1853950132
1470,121529.47766717782
1471,197082.84554982497
1472,93941.98121362748
1473,93510.20544419948
1474,146899.3121860705
1475,111927.06297597369
1476,381328.30489984684
1477,247772.69348278633
1478,288174.26373004273
1479,289658.7425123909
1480,484746.44652718515
1481,322257.9259525975
1482,207242.85181625222
1483,178119.54109151073
1484,162959.70689329447
1485,185933.58408438502
1486,196037.19163300982
1487,339434.2023563929
1488,231016.1482953205
1489,194460.2478904736
1490,234533.47258317552
1491,195098.10277656693
1492,91617.66492759115
1493,180067.28599754372
1494,298569.5119961391
1495,292575.77120352356
1496,237642.0212396526
1497,179894.58320741254
1498,165590.1219660736
1499,159571.82153478
1500,152236.9055284895
1501,172736.5062109017
1502,144026.08342789346
1503,288404.45040808694
1504,240457.0112343607
1505,225282.595216453
1506,185308.36728432745
1507,243533.6258923152
1508,199129.16218737967
1509,161420.95108079535
1510,143031.9057321645
1511,150786.95728192336
1512,173885.17065046492
1513,140913.97538079383
1514,155244.75428470602
1515,196236.55098164125
1516,155224.06700692954
1517,161377.6120013859
1518,131339.09809018593
1519,215636.27745557926
1520,129897.03369004975
1521,133721.47333268623
1522,172970.93520284593
1523,112488.65083068263
1524,126020.00774655209
1525,121330.63855983941
1526,111559.3197406175
1527,101170.53653027162
1528,133582.3982223619
1529,149508.95693372271
1530,177895.75617811517
1531,106092.63829562446
1532,99064.74228470627
1533,147429.83489395786
1534,126960.61659960297
1535,154365.46491919082
1536,107568.51841222824
1537,61681.19337540211
1538,145745.18519340747
1539,186624.85123952111
1540,93527.55454918568
1541,145185.7699179805
1542,143403.8268879428
1543,203875.67131908852
1544,83568.48382094773
1545,110282.18251769993
1546,132059.6286718265
1547,135680.18267842723
1548,137024.0466240318
1549,115304.85064725595
1550,134133.24713530065
1551,111942.89189151453
1552,133075.3103574256
1553,150372.40895182252
1554,109076.50335539349
1555,160823.18625804907
1556,84466.33367282322
1557,111262.98310406922
1558,98085.7565721528
1559,65945.30483995596
1560,137088.74627577607
1561,129964.15117507608
1562,129971.62760390536
1563,119033.32390242786
1564,162544.18460441098
1565,147207.25394495958
1566,234787.5158995819
1567,76428.1480340835
1568,236044.96214616517
1569,137573.0429065762
1570,134451.70172725272
1571,118483.54197599016
1572,147600.2906634741
1573,250328.68467144656
1574,118741.31287522946
1575,224532.91909950442
1576,240557.47791873562
1577,184826.75487349258
1578,144911.77114441927
1579,146530.1286134662
1580,195483.3851347597
1581,151262.43792611037
1582,124852.03891438784
1583,308515.1049905546
1584,224625.08492888574
1585,139777.54502218345
1586,67008.13579666681
1587,99072.2740518917
1588,148789.19494937782
1589,102822.34179254597
1590,136681.765437032
1591,94519.74110964843
1592,122682.26790001769
1593,124368.68680253025
1594,130986.31693137501
1595,106213.67099164915
1596,239542.69877041155
1597,193045.54409261595
1598,218760.60038902806
1599,166233.12096028336
1600,162618.85399133264
1601,64932.40776691288
1602,114073.43796345918
1603,76878.57418671381
1604,265581.99213798554
1605,239461.49782984873
1606,167060.93188862992
1607,168245.94694252682
1608,216606.16376252435
1609,183793.0808685351
1610,148727.7284385637
1611,141583.56007043825
1612,172612.64878039286
1613,163925.1934974878
1614,124531.48812778172
1615,88457.57879999623
1616,74796.8050422561
1617,90946.29132210473
1618,125055.27839041933
1619,134765.39655715355
1620,147213.36914812023
1621,138538.29304585437
1622,140362.87250284036
1623,259064.72676608321
1624,217744.18998667752
1625,121583.88904328483
1626,166505.2065305581
1627,192605.27060791114
1628,270328.13406101963
1629,177191.9853138115
1630,361528.93097869644
1631,224805.5100331131
1632,242926.06558271297
1633,170789.89019564295
1634,187073.52228617005
1635,176930.91308240563
1636,152421.88431963307
1637,196266.40714499837
1638,183461.68549412774
1639,185862.228660967
1640,263936.30035851384
1641,179530.47197896088
1642,237220.28714415454
1643,219801.59841996472
1644,231666.60609059565
1645,196851.67275295855
1646,157028.36525760664
1647,158009.01795194153
1648,131542.11174978493
